State/UT,Total Schools,Total Teachers,Total Enrolment,Male Teachers,Female Teachers,Male Enrolment,Female Enrolment,Pupil Teacher Ratio,Gross Enrolment Ratio,Dropout Rate,Transition Rate,Retention Rate,School Density,Teacher Density,Literacy Rate,Infrastructure Index,Education Quality Index
Andhra Pradesh,16995,66466,1495149,32154,34312,786920,708229,22.49,81.59,6.81,94.5,77.37,20.44,3.91,84.73,74.96,49.5
Arunachal Pradesh,2060,6707,178964,3732,2975,96499,82465,26.68,94.55,9.17,94.32,87.97,6.56,3.26,83.49,63.24,38.24
Assam,78020,306545,6209004,158705,147840,3200456,3008548,20.25,85.5,4.46,79.73,76.45,3.98,3.93,77.81,60.13,42.55
Bihar,56086,190952,5888034,103310,87642,3285669,2602365,30.84,97.79,3.34,82.37,81.2,19.99,3.4,79.06,72.92,40.07
Chhattisgarh,7465,24471,469667,14411,10060,261779,207888,19.19,86.64,3.04,91.09,85.53,2.74,3.28,89.5,72.94,54.51
Goa,83586,362651,12254047,184921,177730,6220458,6033589,33.79,106.4,3.21,91.08,88.06,18.4,4.34,72.68,63.92,35.32
Gujarat,38394,167350,5080063,88569,78781,2666055,2414008,30.36,87.73,4.83,91.09,73.6,28.33,4.36,82.92,64.35,35.8
Haryana,88698,369877,7833792,211076,158801,4003549,3830243,21.18,91.42,5.75,99.0,79.66,18.11,4.17,76.18,72.78,43.07
Himachal Pradesh,45331,161629,2923603,82020,79609,1490859,1432744,18.09,100.51,5.61,91.43,78.68,12.87,3.57,76.04,52.62,36.64
Jammu & Kashmir,61463,203885,6330096,99748,104137,3118092,3212004,31.05,84.15,6.82,94.81,77.43,20.01,3.32,87.89,53.11,34.61
Jharkhand,17223,69255,2029844,35650,33605,1081236,948608,29.31,95.82,5.03,93.72,94.36,14.83,4.02,85.43,61.38,39.46
Karnataka,42290,157665,4676993,78729,78936,2456298,2220695,29.66,104.46,8.2,91.91,84.83,17.28,3.73,85.32,67.44,40.8
Kerala,68421,228967,6946933,135449,93518,3429031,3517902,30.34,81.14,4.42,86.11,73.17,28.36,3.35,89.75,73.73,41.08
Madhya Pradesh,66020,250494,4805656,144529,105965,2448507,2357149,19.18,95.48,10.98,92.55,88.43,12.81,3.79,78.19,87.7,51.83
Maharashtra,1969,6382,151480,3548,2834,83856,67624,23.74,96.08,6.38,83.36,96.86,28.91,3.24,84.14,80.29,48.65
Manipur,60935,261483,5191459,152856,108627,2630872,2560587,19.85,100.25,3.11,86.58,89.23,27.35,4.29,75.21,68.08,44.08
Meghalaya,64155,225218,7164107,129825,95393,3583075,3581032,31.81,84.1,2.64,85.09,71.36,7.48,3.51,80.92,69.77,35.18
Mizoram,66125,264171,7389595,132716,131455,3874082,3515513,27.97,83.44,6.06,88.49,78.61,3.94,4.0,76.83,57.97,37.09
Nagaland,69169,247214,5758694,145141,102073,3219084,2539610,23.29,98.18,4.51,99.0,90.87,4.82,3.57,78.87,69.78,42.27
Odisha,6511,24899,473503,13563,11336,240039,233464,19.02,96.38,6.57,76.8,77.05,2.51,3.82,83.36,66.54,47.75
Punjab,84304,325081,7468969,187537,137544,4011206,3457763,22.98,96.0,6.04,92.12,85.11,4.64,3.86,70.64,73.87,45.46
Rajasthan,54907,187882,4359413,110386,77496,2368527,1990886,23.2,96.77,4.84,78.32,87.42,21.12,3.42,96.83,60.07,43.36
Sikkim,86505,377465,11200783,195587,181878,5674705,5526078,29.67,88.56,3.14,85.17,75.51,3.99,4.36,68.95,76.23,33.61
Tamil Nadu,29893,123463,3481770,60893,62570,1883551,1598219,28.2,95.86,1.67,94.53,81.58,10.93,4.13,67.07,88.39,47.06
Telangana,73132,316471,10188912,160562,155909,5254879,4934033,32.2,96.34,4.02,88.39,59.31,25.66,4.33,88.42,68.69,37.98
Tripura,26858,114786,2933407,60980,53806,1567206,1366201,25.56,88.29,6.88,81.53,74.83,2.65,4.27,85.12,74.82,44.3
Uttar Pradesh,85678,335642,6683810,194055,141587,3571474,3112336,19.91,108.93,5.47,83.71,80.23,24.81,3.92,83.62,78.28,43.75
Uttarakhand,19631,84536,2486366,49309,35227,1311569,1174797,29.41,97.79,2.26,92.08,73.27,9.89,4.31,83.66,65.19,39.3
West Bengal,3947,13050,393752,6275,6775,195427,198325,30.17,84.47,5.38,83.62,93.43,5.31,3.31,77.89,72.69,39.07
Andaman & Nicobar,60350,207313,5593395,112216,95097,3067816,2525579,26.98,99.25,5.85,89.3,71.99,21.51,3.44,69.92,70.15,38.19
Chandigarh,66925,217792,6606824,115449,102343,3385697,3221127,30.34,86.2,3.06,88.27,78.92,19.61,3.25,78.68,71.17,37.99
Delhi,85854,308250,7983900,156176,152074,4016351,3967549,25.9,100.3,5.34,84.09,82.92,26.57,3.59,71.91,60.72,39.57
Puducherry,36973,135558,3573814,67018,68540,1761369,1812445,26.36,103.27,5.13,99.0,92.09,22.58,3.67,86.78,70.29,43.32
Lakshadweep,68635,241981,6010967,125954,116027,3194002,2816965,24.84,87.43,2.49,91.8,71.95,24.5,3.53,76.68,75.98,42.41
Dadra & Nagar Haveli,58086,243641,4484628,144515,99126,2410171,2074457,18.41,101.71,5.79,75.85,90.14,9.9,4.19,70.57,87.41,47.17
Daman & Diu,68003,246722,4866903,127996,118726,2390434,2476469,19.73,97.3,6.23,89.12,82.07,6.97,3.63,75.11,81.51,47.43
